capsule_id,capsule_path,discipline,risk,detections_total,sweep_denominator,sweep_denominator_lines,claims_registered,unresolved,coverage_pct
capsule:eisca:convulsao_febril,capsules/EISCA/convulsao_febril.md,EISCA,high,63,40,24,0,40,0.0
capsule:eisca:crescimento_e_desenvolvimento,capsules/EISCA/crescimento_e_desenvolvimento.md,EISCA,medium,68,37,28,0,37,0.0
capsule:eisca:diagnostico_diferencial_das_anemias_na_infancia,capsules/EISCA/diagnostico_diferencial_das_anemias_na_infancia.md,EISCA,medium,42,16,15,0,16,0.0
capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,capsules/EISCA/diarreia_aguda_desidratacao_planos_reidratacao.md,EISCA,high,139,74,34,0,74,0.0
capsule:eisca:doenca_hemolitica_perinatal_rh_abo,capsules/EISCA/doenca_hemolitica_perinatal_rh_abo.md,EISCA,high,9,4,4,0,4,0.0
capsule:eisca:doencas_exantematicas,capsules/EISCA/doencas_exantematicas.md,EISCA,high,55,16,12,0,16,0.0
capsule:eisca:faringoamigdalite_estreptococica_escarlatina,capsules/EISCA/faringoamigdalite_estreptococica_escarlatina.md,EISCA,high,34,21,13,0,21,0.0
capsule:eisca:febre_reumatica,capsules/EISCA/febre_reumatica.md,EISCA,high,46,21,14,0,21,0.0
capsule:eisca:hemoglobinopatias_talassemias_doenca_falciforme,capsules/EISCA/hemoglobinopatias_talassemias_doenca_falciforme.md,EISCA,high,79,40,27,0,40,0.0
capsule:eisca:humanizacao_em_uti_neonatal,capsules/EISCA/humanizacao_em_uti_neonatal.md,EISCA,low,22,8,8,0,8,0.0
capsule:eisca:ictericia_neonatal_hiperbilirrubinemia_indireta,capsules/EISCA/ictericia_neonatal_hiperbilirrubinemia_indireta.md,EISCA,high,82,37,21,0,37,0.0
capsule:eisca:imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva,capsules/EISCA/imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva.md,EISCA,high,50,11,11,4,4,63.64
capsule:eisca:infeccao_do_trato_urinario_na_infancia,capsules/EISCA/infeccao_do_trato_urinario_na_infancia.md,EISCA,high,83,38,26,0,38,0.0
capsule:eisca:interpretacao_hemograma_e_coagulacao,capsules/EISCA/interpretacao_hemograma_e_coagulacao.md,EISCA,medium,43,17,14,0,17,0.0
capsule:eisca:leucemias_agudas_na_infancia,capsules/EISCA/leucemias_agudas_na_infancia.md,EISCA,high,23,7,7,0,7,0.0
capsule:eisca:meningites_na_crianca,capsules/EISCA/meningites_na_crianca.md,EISCA,high,78,44,29,0,44,0.0
capsule:eisca:neuroblastoma,capsules/EISCA/neuroblastoma.md,EISCA,medium,35,13,13,0,13,0.0
capsule:eisca:obesidade_na_infancia_e_adolescencia,capsules/EISCA/obesidade_na_infancia_e_adolescencia.md,EISCA,medium,75,29,27,0,29,0.0
