rank,capsule_id,capsule_path,discipline,risk,tier_A_unresolved,tier_A_total,claims_already_registered
125,capsule:casos_clinicos:sindrome_do_intestino_irritavel,capsules/CASOS_CLINICOS/sindrome_do_intestino_irritavel.md,CASOS_CLINICOS,low,4,4,0
126,capsule:eisa_ii:doencas_cisticas_renais,capsules/EISA_II/doencas_cisticas_renais.md,EISA_II,medium,4,4,0
127,capsule:eisa_ii:hiperplasia_adrenal_congenita,capsules/EISA_II/hiperplasia_adrenal_congenita.md,EISA_II,high,4,4,0
128,capsule:eisa_ii:hipertireoidismo_tireotoxicose,capsules/EISA_II/hipertireoidismo_tireotoxicose.md,EISA_II,high,4,4,0
129,capsule:eisca:imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva,capsules/EISCA/imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva.md,EISCA,high,4,11,4
130,capsule:casos_clinicos:abordagem_a_dispneia,capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,CASOS_CLINICOS,high,3,3,0
131,capsule:casos_clinicos:doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa,capsules/CASOS_CLINICOS/doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa.md,CASOS_CLINICOS,medium,3,3,0
132,capsule:eisa_ii:disturbios_do_movimento,capsules/EISA_II/disturbios_do_movimento.md,EISA_II,medium,3,3,0
133,capsule:eisa_ii:doencas_da_orelha_externa,capsules/EISA_II/doencas_da_orelha_externa.md,EISA_II,medium,3,3,0
134,capsule:eisa_ii:hiperandrogenismo_hac_sop_tumor_virilizante,capsules/EISA_II/hiperandrogenismo_hac_sop_tumor_virilizante.md,EISA_II,high,3,3,0
135,capsule:eisa_ii:hipoparatireoidismo_e_hipocalcemia,capsules/EISA_II/hipoparatireoidismo_e_hipocalcemia.md,EISA_II,high,3,3,0
136,capsule:eisca:assistencia_rn_sala_parto_reanimacao_neonatal,capsules/EISCA/assistencia_rn_sala_parto_reanimacao_neonatal.md,EISCA,high,3,19,4
137,capsule:eisca:doenca_hemolitica_perinatal_rh_abo,capsules/EISCA/doenca_hemolitica_perinatal_rh_abo.md,EISCA,high,3,3,0
138,capsule:eisca:osteossarcoma,capsules/EISCA/osteossarcoma.md,EISCA,medium,3,3,0
139,capsule:casos_clinicos:doenca_celiaca,capsules/CASOS_CLINICOS/doenca_celiaca.md,CASOS_CLINICOS,low,2,2,0
140,capsule:casos_clinicos:icetericia_e_interpretacao_das_provas_de_funcao_hepatica,capsules/CASOS_CLINICOS/icetericia_e_interpretacao_das_provas_de_funcao_hepatica.md,CASOS_CLINICOS,medium,2,2,0
141,capsule:eisa_ii:insulinoterapia_classificacao_farmacocinetica,capsules/EISA_II/insulinoterapia_classificacao_farmacocinetica.md,EISA_II,high,2,2,0
142,capsule:eisca:humanizacao_em_uti_neonatal,capsules/EISCA/humanizacao_em_uti_neonatal.md,EISCA,low,2,2,0
143,capsule:eisca:leucemias_agudas_na_infancia,capsules/EISCA/leucemias_agudas_na_infancia.md,EISCA,high,2,2,0
144,capsule:eism:tdah,capsules/EISM/tdah.md,EISM,medium,2,2,0
145,capsule:eism:transtornos_de_personalidade,capsules/EISM/transtornos_de_personalidade.md,EISM,medium,2,2,0
146,capsule:casos_clinicos:tontura_vertigem_vppb_dix_hallpike,capsules/CASOS_CLINICOS/tontura_vertigem_vppb_dix_hallpike.md,CASOS_CLINICOS,medium,1,1,0
147,capsule:eisa_ii:trauma_urogenital,capsules/EISA_II/trauma_urogenital.md,EISA_II,high,1,1,0
148,capsule:eisa_ii:tumores_do_sistema_nervoso_central,capsules/EISA_II/tumores_do_sistema_nervoso_central.md,EISA_II,medium,1,1,0
149,capsule:eism:eletroconvulsoterapia_ect,capsules/EISM/eletroconvulsoterapia_ect.md,EISM,medium,1,1,0
150,capsule:eism:transtornos_dissociativos,capsules/EISM/transtornos_dissociativos.md,EISM,low,1,1,0
